Customer ID,Product ID,Purchase Amount (USD),Size,Color,Season,Review Rating,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
33,1015,67,M,Silver,Summer,4.9,Free Shipping,Yes,Yes,37,Venmo,Annually
34,1014,38,L,Green,Summer,3.3,Store Pickup,Yes,Yes,45,Cash,Quarterly
35,1018,91,L,Violet,Spring,4.6,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
36,1001,33,M,Cyan,Summer,4.0,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
37,1018,69,M,Maroon,Winter,4.6,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
38,1003,45,S,Cyan,Summer,2.8,Store Pickup,Yes,Yes,10,PayPal,Weekly
39,1011,37,M,Red,Winter,,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
40,1014,60,S,Turquoise,Summer,4.2,Express,Yes,Yes,18,Credit Card,Monthly
41,1009,76,L,Beige,Winter,4.6,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
42,1019,39,M,Orange,Spring,4.5,Standard,Yes,Yes,40,Venmo,Annually
43,1008,100,M,Beige,Spring,4.1,Free Shipping,Yes,Yes,15,PayPal,Annually
44,1019,69,L,Lavender,Fall,3.7,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
45,1020,53,S,Silver,Summer,4.6,Free Shipping,Yes,Yes,45,PayPal,Weekly
46,1021,21,XL,Indigo,Fall,2.9,2-Day Shipping,Yes,Yes,25,PayPal,Annually
47,1006,43,L,White,Summer,2.9,Store Pickup,Yes,Yes,45,Cash,Quarterly
48,1017,54,M,Charcoal,Winter,4.5,Free Shipping,Yes,Yes,36,Cash,Weekly
49,1006,55,M,Orange,Summer,2.7,Store Pickup,Yes,Yes,38,Cash,Monthly
50,1016,30,S,Indigo,Spring,4.6,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
51,1001,28,M,Red,Spring,,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
52,1012,59,XL,Gray,Winter,4.7,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
53,1018,20,M,Green,Summer,2.6,Free Shipping,Yes,Yes,26,Credit Card,Weekly
54,1012,24,S,Peach,Winter,3.9,Next Day Air,Yes,Yes,35,Credit Card,Weekly
55,1008,94,M,Brown,Summer,4.2,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
56,1015,28,M,Lavender,Winter,3.0,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
57,1022,73,XL,Brown,Summer,4.7,Store Pickup,Yes,Yes,46,Credit Card,Weekly
58,1008,64,M,White,Summer,4.4,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
59,1016,54,M,Charcoal,Summer,4.2,Free Shipping,Yes,Yes,29,Venmo,Monthly
60,1023,79,L,Yellow,Spring,4.6,Standard,Yes,Yes,4,Debit Card,Weekly
61,1002,37,L,Brown,Summer,4.0,Express,Yes,Yes,17,Cash,Weekly
62,1019,68,M,Orange,Winter,4.7,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
63,1005,21,S,Magenta,Spring,3.8,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
64,1013,79,L,Lavender,Winter,2.7,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,1024,83,S,Green,Fall,4.8,Standard,Yes,Yes,18,Debit Card,Fortnightly
66,1022,36,M,Purple,Spring,4.8,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
67,1001,94,S,Magenta,Winter,4.7,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months
68,1008,33,L,Gray,Winter,4.4,Store Pickup,Yes,Yes,49,Debit Card,Monthly
69,1009,46,L,Silver,Summer,3.9,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
70,1023,70,S,Cyan,Summer,4.4,Express,Yes,Yes,5,Cash,Weekly
71,1023,29,M,Magenta,Fall,4.2,Express,Yes,Yes,32,Debit Card,Every 3 Months
72,1011,48,L,Gold,Summer,2.9,Express,Yes,Yes,34,Bank Transfer,Annually
73,1011,26,M,Olive,Winter,2.9,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
74,1014,85,M,Teal,Spring,2.7,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
75,1025,58,L,Violet,Spring,4.5,Express,Yes,Yes,3,Cash,Monthly
76,1019,85,M,Blue,Summer,2.7,Free Shipping,Yes,Yes,21,Credit Card,Annually
77,1020,43,S,Teal,Summer,4.2,Free Shipping,Yes,Yes,32,Venmo,Monthly
78,1011,53,L,Gold,Summer,3.3,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
79,1012,91,M,Maroon,Spring,4.7,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
80,1015,96,M,Olive,Winter,2.6,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
81,1004,72,XL,Blue,Summer,,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
82,1010,96,L,Maroon,Summer,2.6,Express,Yes,Yes,36,Credit Card,Every 3 Months
83,1014,28,S,Olive,Spring,4.0,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
84,1011,40,M,Turquoise,Summer,4.1,Standard,Yes,Yes,34,Bank Transfer,Weekly
85,1008,32,S,Peach,Spring,4.4,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
86,1013,95,M,Charcoal,Winter,4.5,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
87,1016,41,L,Pink,Spring,3.7,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
88,1010,53,M,Green,Fall,3.7,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
89,1018,47,M,Orange,Fall,3.5,Free Shipping,Yes,Yes,35,Credit Card,Monthly
90,1015,83,XL,Pink,Fall,3.6,Next Day Air,Yes,Yes,15,Cash,Quarterly
91,1020,48,L,Violet,Summer,2.9,Express,Yes,Yes,29,Credit Card,Monthly
92,1019,99,S,Green,Winter,4.6,Standard,Yes,Yes,18,Credit Card,Every 3 Months
93,1015,87,M,Olive,Winter,4.4,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
94,1002,62,M,Purple,Fall,4.5,Standard,Yes,Yes,46,Credit Card,Weekly
95,1012,76,S,Silver,Spring,4.6,Free Shipping,Yes,Yes,28,Credit Card,Weekly
96,1005,100,L,Pink,Fall,3.8,Free Shipping,Yes,Yes,48,PayPal,Monthly
97,1025,73,S,Gold,Spring,,Express,Yes,Yes,43,Venmo,Every 3 Months
98,1010,92,M,Teal,Winter,4.8,Store Pickup,Yes,Yes,37,Cash,Annually
99,1003,67,XL,Teal,Spring,2.6,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
100,1016,40,XL,Indigo,Summer,3.7,Express,Yes,Yes,33,Debit Card,Quarterly
101,1013,98,M,Maroon,Fall,2.7,Express,Yes,Yes,31,Cash,Fortnightly
102,1008,85,XL,White,Spring,4.6,Express,Yes,Yes,50,Credit Card,Bi-Weekly
103,1021,67,L,Violet,Winter,4.8,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
104,1024,89,L,Red,Winter,4.0,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly
105,1013,24,L,Pink,Spring,4.4,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
106,1022,96,M,Charcoal,Fall,3.6,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
107,1015,35,L,White,Summer,3.7,Standard,Yes,Yes,31,Credit Card,Monthly
108,1005,67,L,Olive,Winter,3.1,Next Day Air,Yes,Yes,46,PayPal,Fortnightly
109,1021,79,L,Purple,Spring,3.4,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
110,1018,85,M,Violet,Spring,2.6,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
111,1022,26,M,Black,Summer,4.0,Standard,Yes,Yes,26,Venmo,Fortnightly
112,1023,75,L,Purple,Summer,5.0,Free Shipping,Yes,Yes,9,Credit Card,Annually
113,1025,65,M,Red,Spring,4.3,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly
114,1020,54,L,Maroon,Winter,3.1,Next Day Air,Yes,Yes,20,PayPal,Quarterly
115,1008,95,S,Blue,Summer,3.7,Store Pickup,Yes,Yes,9,Cash,Weekly
116,1012,94,M,Gray,Spring,3.8,Standard,Yes,Yes,48,Debit Card,Every 3 Months
117,1010,86,S,Blue,Spring,3.4,Free Shipping,Yes,Yes,12,Venmo,Annually
118,1004,32,L,Yellow,Summer,4.6,Express,Yes,Yes,29,Cash,Fortnightly
119,1002,45,L,Orange,Fall,4.8,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
120,1008,76,M,Orange,Fall,4.3,Express,Yes,Yes,44,Cash,Annually
121,1020,84,L,Red,Summer,4.0,Express,Yes,Yes,32,Bank Transfer,Annually
122,1007,72,M,Olive,Winter,4.2,Standard,Yes,Yes,11,Cash,Fortnightly
123,1022,40,L,Brown,Spring,4.8,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
124,1002,89,L,Brown,Fall,3.1,Free Shipping,Yes,Yes,46,Cash,Weekly
125,1002,86,M,Gray,Spring,3.1,Next Day Air,Yes,Yes,50,PayPal,Annually
126,1007,54,M,Indigo,Winter,3.6,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months
127,1007,36,L,Pink,Spring,3.9,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
128,1002,89,M,Gray,Winter,4.8,Next Day Air,Yes,Yes,26,Credit Card,Weekly
129,1019,32,M,Gold,Spring,4.7,Standard,Yes,Yes,21,Credit Card,Fortnightly
130,1011,67,XL,Olive,Summer,4.2,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly
131,1019,39,L,Violet,Fall,3.7,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
132,1012,29,L,Indigo,Summer,3.9,Standard,Yes,Yes,46,Credit Card,Weekly
133,1022,58,M,Orange,Fall,4.7,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
134,1002,65,M,Violet,Winter,2.5,Next Day Air,Yes,Yes,25,Venmo,Annually
135,1020,94,L,Gray,Fall,4.9,Store Pickup,Yes,Yes,25,Cash,Monthly
136,1004,81,M,Purple,Fall,4.1,Express,Yes,Yes,12,PayPal,Quarterly
137,1001,86,M,White,Winter,3.3,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
138,1005,43,M,Turquoise,Spring,4.7,Free Shipping,Yes,Yes,38,PayPal,Weekly
139,1012,29,M,Maroon,Winter,4.4,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
140,1008,95,M,White,Fall,3.8,Store Pickup,Yes,Yes,30,Venmo,Annually
141,1006,28,L,Yellow,Fall,3.9,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,1025,46,M,Turquoise,Fall,4.9,Free Shipping,Yes,Yes,45,PayPal,Weekly
143,1015,58,L,Violet,Fall,3.1,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
144,1008,48,M,Beige,Fall,2.7,Store Pickup,Yes,Yes,25,PayPal,Quarterly
145,1010,43,M,Silver,Fall,3.2,Express,Yes,Yes,25,Cash,Monthly
146,1017,95,M,Teal,Fall,4.5,Standard,Yes,Yes,44,Debit Card,Quarterly
147,1012,30,S,Black,Fall,4.0,Standard,Yes,Yes,21,Venmo,Fortnightly
148,1010,64,M,Purple,Summer,3.5,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
149,1025,90,M,Gray,Fall,2.6,Store Pickup,Yes,Yes,47,Debit Card,Annually
150,1014,76,M,White,Summer,3.2,Free Shipping,Yes,Yes,14,PayPal,Monthly
151,1024,96,L,Cyan,Fall,4.9,Standard,Yes,Yes,17,Debit Card,Every 3 Months
152,1013,47,L,Turquoise,Fall,4.5,Next Day Air,Yes,Yes,3,Venmo,Annually
153,1006,85,S,Brown,Summer,4.3,Express,Yes,Yes,42,Venmo,Annually
154,1016,55,M,Maroon,Winter,3.2,Standard,Yes,Yes,22,Debit Card,Annually
155,1011,98,M,Charcoal,Fall,3.6,Next Day Air,Yes,Yes,21,Venmo,Quarterly
156,1021,77,S,Olive,Spring,4.3,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
157,1007,26,M,Lavender,Fall,4.0,Standard,Yes,Yes,40,Debit Card,Annually
158,1020,68,S,Yellow,Fall,3.0,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly
159,1006,73,XL,Teal,Fall,4.1,Standard,Yes,Yes,50,Bank Transfer,Monthly
160,1025,27,M,Charcoal,Fall,3.8,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months
161,1025,23,M,Orange,Summer,4.6,Free Shipping,Yes,Yes,34,Venmo,Monthly
162,1022,49,M,Olive,Fall,3.0,Express,Yes,Yes,29,Venmo,Fortnightly
163,1013,74,M,Turquoise,Summer,3.0,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly
164,1012,67,M,Purple,Summer,3.4,Standard,Yes,Yes,8,Debit Card,Weekly
165,1009,65,S,Purple,Spring,2.6,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly
166,1009,60,S,Yellow,Winter,2.8,Store Pickup,Yes,Yes,7,Cash,Monthly
167,1005,31,XL,Indigo,Fall,4.0,Store Pickup,Yes,Yes,30,Cash,Monthly
168,1025,27,M,Green,Fall,4.0,Express,Yes,Yes,14,Credit Card,Every 3 Months
169,1010,80,M,Magenta,Summer,3.0,Express,Yes,Yes,5,Cash,Fortnightly
170,1015,30,S,Gold,Summer,3.3,Standard,Yes,Yes,3,PayPal,Every 3 Months
171,1006,25,M,Maroon,Fall,2.6,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly
172,1007,35,M,Blue,Summer,3.6,Store Pickup,Yes,Yes,4,Credit Card,Weekly
173,1017,67,M,Violet,Summer,3.9,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
174,1020,46,M,Turquoise,Fall,3.4,Standard,Yes,Yes,30,Cash,Annually
175,1010,35,L,Brown,Winter,3.5,Express,Yes,Yes,37,Venmo,Annually
176,1008,86,L,Violet,Fall,2.8,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
177,1022,81,L,Black,Spring,2.7,Next Day Air,Yes,Yes,30,Credit Card,Quarterly
178,1016,42,L,Magenta,Fall,3.7,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly
179,1012,43,L,Lavender,Fall,4.3,2-Day Shipping,Yes,Yes,21,PayPal,Quarterly
180,1024,31,M,Violet,Fall,4.9,Store Pickup,Yes,Yes,9,Bank Transfer,Fortnightly
181,1004,81,L,Green,Fall,3.3,Store Pickup,Yes,Yes,12,Debit Card,Fortnightly
182,1014,61,M,Beige,Summer,4.7,Next Day Air,Yes,Yes,4,Bank Transfer,Weekly
183,1025,96,XL,Purple,Summer,2.8,Store Pickup,Yes,Yes,10,Debit Card,Annually
184,1012,29,XL,Beige,Spring,3.6,2-Day Shipping,Yes,Yes,26,Credit Card,Weekly
185,1005,33,L,Cyan,Spring,3.0,Express,Yes,Yes,40,Cash,Fortnightly
186,1018,32,XL,Silver,Summer,4.5,Store Pickup,Yes,Yes,34,Bank Transfer,Fortnightly
187,1022,56,S,Lavender,Summer,2.9,Standard,Yes,Yes,31,Debit Card,Annually
188,1010,94,S,Purple,Spring,3.3,Store Pickup,Yes,Yes,1,Bank Transfer,Bi-Weekly
189,1016,53,M,Pink,Spring,3.1,Express,Yes,Yes,5,Bank Transfer,Bi-Weekly
190,1001,82,M,Maroon,Fall,4.4,Next Day Air,Yes,Yes,4,Credit Card,Weekly
191,1008,70,XL,Beige,Fall,3.0,Free Shipping,Yes,Yes,48,Venmo,Quarterly
192,1020,76,M,Gray,Fall,3.9,Free Shipping,Yes,Yes,29,Cash,Every 3 Months
193,1010,29,L,Turquoise,Summer,2.9,Express,Yes,Yes,12,PayPal,Bi-Weekly
194,1023,100,S,Silver,Fall,3.0,Standard,Yes,Yes,29,Venmo,Annually
195,1022,94,M,Olive,Spring,3.1,Express,Yes,Yes,15,Debit Card,Quarterly
196,1015,25,M,Magenta,Fall,4.3,Free Shipping,Yes,Yes,34,Credit Card,Monthly
197,1024,88,M,Lavender,Summer,3.9,Next Day Air,Yes,Yes,41,Credit Card,Fortnightly
198,1019,78,M,Black,Fall,3.2,2-Day Shipping,Yes,Yes,41,Credit Card,Monthly
199,1017,45,M,Turquoise,Winter,4.8,Standard,Yes,Yes,39,Credit Card,Fortnightly
200,1020,73,XL,Green,Summer,3.8,Express,Yes,Yes,32,Cash,Weekly
201,1011,61,S,Teal,Summer,3.3,Next Day Air,Yes,Yes,29,Venmo,Monthly
202,1001,22,S,Beige,Fall,4.3,Free Shipping,Yes,Yes,15,Bank Transfer,Annually
203,1020,38,L,Magenta,Spring,2.7,Express,Yes,Yes,33,Venmo,Annually
204,1019,38,S,Yellow,Fall,3.2,Next Day Air,Yes,Yes,18,Bank Transfer,Weekly
205,1005,100,M,Yellow,Fall,4.0,Store Pickup,Yes,Yes,35,Cash,Bi-Weekly
206,1006,64,M,Silver,Winter,3.0,Standard,Yes,Yes,25,PayPal,Weekly
207,1018,55,L,Silver,Summer,4.2,Free Shipping,Yes,Yes,6,Venmo,Fortnightly
208,1025,91,M,Silver,Summer,2.9,Express,Yes,Yes,17,Bank Transfer,Bi-Weekly
209,1012,38,M,Gold,Spring,4.1,Store Pickup,Yes,Yes,17,Credit Card,Monthly
210,1004,97,S,Olive,Winter,3.2,Store Pickup,Yes,Yes,44,Cash,Every 3 Months
211,1015,22,L,Teal,Fall,3.0,2-Day Shipping,Yes,Yes,6,PayPal,Fortnightly
212,1012,92,L,Maroon,Fall,4.2,2-Day Shipping,Yes,Yes,45,Debit Card,Fortnightly
213,1009,84,L,Blue,Fall,4.2,Express,Yes,Yes,7,Debit Card,Annually
214,1009,93,L,Peach,Fall,4.4,Store Pickup,Yes,Yes,11,Debit Card,Every 3 Months
215,1015,50,L,Blue,Summer,4.2,Next Day Air,Yes,Yes,41,Cash,Every 3 Months
216,1019,64,S,Orange,Spring,2.8,2-Day Shipping,Yes,Yes,24,PayPal,Bi-Weekly
217,1007,61,L,Yellow,Spring,3.7,Free Shipping,Yes,Yes,21,Venmo,Weekly
218,1013,48,M,Purple,Winter,3.5,Next Day Air,Yes,Yes,24,Bank Transfer,Annually
219,1018,45,S,Magenta,Spring,2.9,Store Pickup,Yes,Yes,8,Credit Card,Quarterly
220,1023,88,M,Cyan,Spring,3.0,Free Shipping,Yes,Yes,12,Cash,Fortnightly
221,1005,57,S,Indigo,Spring,3.7,Express,Yes,Yes,48,Debit Card,Fortnightly
222,1020,68,XL,Magenta,Summer,4.4,Store Pickup,Yes,Yes,6,Bank Transfer,Quarterly
223,1025,94,XL,Gray,Spring,4.5,2-Day Shipping,Yes,Yes,14,PayPal,Fortnightly
224,1014,41,M,Turquoise,Spring,4.8,Free Shipping,Yes,Yes,34,PayPal,Annually
225,1021,83,S,Beige,Summer,2.9,Free Shipping,Yes,Yes,12,Cash,Every 3 Months
226,1015,22,M,Olive,Spring,3.2,Next Day Air,Yes,Yes,11,Bank Transfer,Annually
227,1010,74,L,Violet,Spring,3.3,Free Shipping,Yes,Yes,5,PayPal,Monthly
228,1003,90,M,Turquoise,Winter,4.2,Standard,Yes,Yes,25,Venmo,Fortnightly
229,1021,79,M,White,Spring,2.9,Store Pickup,Yes,Yes,11,Credit Card,Annually
230,1004,28,S,Silver,Spring,4.6,Next Day Air,Yes,Yes,27,PayPal,Every 3 Months
231,1019,88,L,Olive,Fall,4.1,Standard,Yes,Yes,43,Credit Card,Annually
232,1001,26,M,Blue,Spring,3.1,2-Day Shipping,Yes,Yes,18,Debit Card,Every 3 Months
233,1017,27,L,Purple,Winter,4.2,Express,Yes,Yes,32,Bank Transfer,Bi-Weekly
234,1002,83,XL,Yellow,Fall,4.5,Next Day Air,Yes,Yes,27,Bank Transfer,Every 3 Months
235,1025,39,S,Silver,Summer,3.7,Next Day Air,Yes,Yes,24,Credit Card,Weekly
236,1013,89,M,Cyan,Winter,3.7,Free Shipping,Yes,Yes,31,Debit Card,Quarterly
237,1008,68,L,Green,Winter,3.4,Next Day Air,Yes,Yes,39,PayPal,Fortnightly
238,1011,90,M,Beige,Summer,3.0,Store Pickup,Yes,Yes,36,Debit Card,Fortnightly
239,1012,34,M,Peach,Fall,4.2,Free Shipping,Yes,Yes,5,Cash,Annually
240,1014,51,L,Yellow,Summer,2.9,Express,Yes,Yes,47,Credit Card,Bi-Weekly
241,1002,45,XL,Turquoise,Winter,3.5,Free Shipping,Yes,Yes,29,Bank Transfer,Fortnightly
242,1016,88,M,Peach,Winter,4.1,Free Shipping,Yes,Yes,43,Venmo,Bi-Weekly
243,1008,85,L,Gray,Summer,4.3,Store Pickup,Yes,Yes,40,Debit Card,Every 3 Months
244,1017,100,M,Olive,Winter,2.8,2-Day Shipping,Yes,Yes,4,Debit Card,Monthly
245,1023,42,S,Indigo,Spring,4.9,2-Day Shipping,Yes,Yes,39,PayPal,Weekly
246,1004,53,L,Charcoal,Summer,3.3,Next Day Air,Yes,Yes,45,Venmo,Fortnightly
247,1013,86,XL,Beige,Spring,3.2,Express,Yes,Yes,20,Venmo,Bi-Weekly
248,1002,66,XL,Brown,Spring,4.4,Standard,Yes,Yes,14,Debit Card,Weekly
249,1023,100,M,Blue,Winter,4.8,Express,Yes,Yes,33,PayPal,Weekly
250,1009,47,S,Teal,Fall,4.2,Standard,Yes,Yes,18,Credit Card,Annually
251,1012,25,L,Black,Fall,4.0,Express,Yes,Yes,9,Bank Transfer,Weekly
252,1009,51,XL,Gold,Winter,2.5,Standard,Yes,Yes,34,PayPal,Annually
253,1007,41,M,Violet,Summer,3.9,Free Shipping,Yes,Yes,33,Venmo,Fortnightly
254,1024,73,L,Cyan,Winter,4.9,2-Day Shipping,Yes,Yes,15,Bank Transfer,Bi-Weekly
255,1013,42,M,White,Winter,3.5,Store Pickup,Yes,Yes,4,PayPal,Bi-Weekly
256,1019,20,M,Charcoal,Spring,4.2,Free Shipping,Yes,Yes,25,Debit Card,Annually
257,1017,30,XL,Violet,Spring,4.7,Express,Yes,Yes,20,Credit Card,Every 3 Months
258,1009,53,M,Red,Summer,4.5,Express,Yes,Yes,5,Credit Card,Quarterly
259,1025,74,S,Lavender,Spring,2.8,Express,Yes,Yes,16,Cash,Quarterly
260,1003,57,M,Gold,Fall,2.9,Standard,Yes,Yes,13,Debit Card,Annually
261,1020,57,S,Red,Winter,3.2,2-Day Shipping,Yes,Yes,11,Credit Card,Every 3 Months
262,1003,77,L,Magenta,Winter,4.9,Standard,Yes,Yes,21,Credit Card,Annually
263,1014,40,M,Teal,Summer,,Next Day Air,Yes,Yes,6,Debit Card,Annually
264,1007,46,M,Purple,Summer,4.3,Store Pickup,Yes,Yes,29,Venmo,Monthly
265,1014,78,S,Charcoal,Fall,3.9,Store Pickup,Yes,Yes,15,Cash,Annually
266,1022,59,M,Gray,Spring,3.2,2-Day Shipping,Yes,Yes,17,Bank Transfer,Bi-Weekly
267,1017,75,L,White,Summer,3.1,Express,Yes,Yes,32,Credit Card,Weekly
268,1002,54,M,Olive,Spring,3.9,2-Day Shipping,Yes,Yes,42,Venmo,Annually
269,1010,42,M,Charcoal,Spring,2.6,Store Pickup,Yes,Yes,21,Cash,Monthly
270,1001,44,M,Charcoal,Winter,3.3,Next Day Air,Yes,Yes,9,Cash,Bi-Weekly
271,1003,52,XL,Orange,Fall,4.6,Free Shipping,Yes,Yes,16,Bank Transfer,Annually
272,1013,69,XL,Yellow,Summer,4.6,Express,Yes,Yes,42,Credit Card,Fortnightly
273,1017,26,M,Beige,Summer,4.4,2-Day Shipping,Yes,Yes,37,Debit Card,Bi-Weekly
274,1008,33,S,Silver,Spring,4.2,Express,Yes,Yes,32,Debit Card,Quarterly
275,1017,32,M,Indigo,Spring,3.0,Express,Yes,Yes,28,Cash,Bi-Weekly
276,1022,85,XL,Lavender,Winter,4.0,Express,Yes,Yes,13,Credit Card,Weekly
277,1012,30,XL,Turquoise,Fall,3.5,Express,Yes,Yes,11,Bank Transfer,Fortnightly
278,1006,29,M,Green,Winter,3.0,Store Pickup,Yes,Yes,36,Bank Transfer,Bi-Weekly
279,1002,95,M,Orange,Spring,3.7,Express,Yes,Yes,23,Debit Card,Annually
280,1005,69,L,Turquoise,Summer,4.0,Standard,Yes,Yes,37,Bank Transfer,Monthly
